predicted_tree_id,predicted_tree_height,predicted_tree_internal_area,observed_tree_id,observed_tree_height,observed_tree_internal_area,height_err
1,31.70694351196289,FALSE,1033,26.4,FALSE,5.306943511962892
4,37.79801559448242,TRUE,1010,39.3,TRUE,-1.5019844055175753
6,39.14759826660156,TRUE,647,45.4,TRUE,-6.252401733398436
7,34.25727844238281,FALSE,1200,32.6,FALSE,1.657278442382811
8,33.075294494628906,FALSE,1168,26.7,FALSE,6.375294494628907
9,34.77488708496094,TRUE,334,29.5,TRUE,5.2748870849609375
10,28.62644386291504,TRUE,68,31.7,TRUE,-3.0735561370849602
12,22.226638793945312,TRUE,199,23.9,TRUE,-1.673361206054686
14,23.657712936401367,TRUE,1070,19.7,TRUE,3.957712936401368
19,33.54507827758789,TRUE,870,33.3,TRUE,0.24507827758789347
21,16.659141540527344,TRUE,967,14.4,TRUE,2.2591415405273434
23,25.817237854003906,TRUE,774,25,TRUE,0.81723785400390625
24,37.5350341796875,TRUE,230,37,TRUE,0.5350341796875
25,12.58781909942627,TRUE,659,12,TRUE,0.5878190994262695
26,43.73323059082031,TRUE,1580,45.1,TRUE,-1.366769409179689
27,20.881160736083984,FALSE,1890,20.2,FALSE,0.6811607360839851
28,22.438386917114258,TRUE,1,26.2,TRUE,-3.7616130828857415
29,8.120588302612305,TRUE,1903,8.2,TRUE,-0.0794116973876946
31,34.198978424072266,TRUE,681,35.5,TRUE,-1.3010215759277344
33,31.429170608520508,TRUE,223,32.1,TRUE,-0.6708293914794936
38,12.537677764892578,TRUE,925,12.9,TRUE,-0.36232223510742223
39,47.763484954833984,TRUE,1730,44.7,TRUE,3.0634849548339815
42,12.00205135345459,TRUE,856,11.7,TRUE,0.30205135345459055
43,44.43258285522461,TRUE,1524,41,TRUE,3.4325828552246094
44,30.171571731567383,TRUE,270,29.3,TRUE,0.8715717315673821
47,41.37230682373047,TRUE,2068,39.5,TRUE,1.8723068237304688
48,15.175421714782715,TRUE,664,13.8,TRUE,1.3754217147827141
49,18.155336380004883,FALSE,483,16.6,FALSE,1.5553363800048814
50,13.966455459594727,FALSE,2141,14.1,FALSE,-0.13354454040527308
53,17.759754180908203,TRUE,624,17.1,TRUE,0.6597541809082017
57,39.24320983886719,TRUE,1981,38,TRUE,1.2432098388671875
58,26.19635772705078,TRUE,778,24,TRUE,2.1963577270507812
59,16.657957077026367,TRUE,964,14.8,TRUE,1.8579570770263665
61,35.52499008178711,FALSE,1176,29.3,FALSE,6.224990081787109
63,18.1569766998291,TRUE,385,15,TRUE,3.1569766998291016
66,25.907058715820312,TRUE,1582,25.1,TRUE,0.8070587158203111
67,38.712623596191406,TRUE,1936,38.2,TRUE,0.5126235961914034
68,25.069244384765625,FALSE,2147,24.4,FALSE,0.6692443847656264
70,26.35312271118164,FALSE,74,25.3,FALSE,1.05312271118164
71,23.04844856262207,TRUE,678,22.2,TRUE,0.848448562622071
72,13.630078315734863,TRUE,837,14,TRUE,-0.3699216842651367
74,39.39668273925781,TRUE,1737,37.8,TRUE,1.5966827392578153
76,37.49705505371094,TRUE,1044,30.8,TRUE,6.697055053710937
77,31.740638732910156,TRUE,226,33.8,TRUE,-2.059361267089841
78,13.020796775817871,TRUE,989,10.5,TRUE,2.520796775817871
79,34.72333908081055,TRUE,201,35.8,TRUE,-1.0766609191894503
80,45.20336151123047,TRUE,1352,43.2,TRUE,2.003361511230466
81,36.8841438293457,TRUE,1947,43.4,TRUE,-6.5158561706542955
82,8.014134407043457,TRUE,1908,6.8,TRUE,1.2141344070434572
83,16.474748611450195,TRUE,2063,15.7,TRUE,0.774748611450196
87,36.707359313964844,FALSE,1814,34.9,FALSE,1.8073593139648452
89,26.29787254333496,FALSE,1056,22.1,FALSE,4.1978725433349595
91,44.31268310546875,TRUE,1342,41.6,TRUE,2.7126831054687486
92,7.073361396789551,FALSE,2115,6.5,FALSE,0.5733613967895508
93,13.545245170593262,TRUE,1912,9.4,TRUE,4.145245170593261
94,10.219703674316406,TRUE,394,9.7,TRUE,0.519703674316407
96,13.082327842712402,TRUE,291,13.8,TRUE,-0.7176721572875984
97,31.744123458862305,TRUE,1781,32.5,TRUE,-0.7558765411376953
98,36.10868835449219,TRUE,910,42.8,TRUE,-6.69131164550781
100,17.917993545532227,TRUE,1302,16.3,TRUE,1.6179935455322259
103,29.131128311157227,TRUE,1087,23.7,TRUE,5.431128311157227
104,21.60980796813965,TRUE,839,22,TRUE,-0.39019203186035156
106,21.387290954589844,TRUE,592,20.8,TRUE,0.587290954589843
108,29.87330436706543,TRUE,596,29.2,TRUE,0.6733043670654304
111,25.91756248474121,TRUE,931,25.5,TRUE,0.41756248474121094
112,26.961952209472656,TRUE,672,25.3,TRUE,1.6619522094726555
116,25.928955078125,TRUE,968,20.6,TRUE,5.328955078124999
118,20.69645881652832,FALSE,2116,19.6,FALSE,1.096458816528319
121,18.52471351623535,FALSE,765,18.1,TRUE,0.42471351623535014
122,35.42619705200195,TRUE,1967,34.2,TRUE,1.2261970520019503
124,13.310534477233887,FALSE,1032,11.2,FALSE,2.1105344772338874
126,20.317800521850586,TRUE,246,21,TRUE,-0.6821994781494141
127,42.38145446777344,TRUE,1954,39.5,TRUE,2.8814544677734375
131,12.82788372039795,TRUE,1777,12.1,TRUE,0.7278837203979496
132,13.372700691223145,TRUE,1500,13,TRUE,0.37270069122314453
134,16.948091506958008,FALSE,1161,13.5,FALSE,3.448091506958008
136,34.62810134887695,TRUE,1065,28.6,FALSE,6.028101348876952
139,7.740565776824951,TRUE,1102,6.8,TRUE,0.9405657768249513
140,32.23511505126953,FALSE,116,31.2,FALSE,1.035115051269532
141,10.396665573120117,FALSE,1910,7.1,FALSE,3.2966655731201175
143,19.51547622680664,FALSE,1180,17,FALSE,2.5154762268066406
144,28.013181686401367,TRUE,274,28,TRUE,0.013181686401367188
145,28.265182495117188,TRUE,280,28.2,TRUE,0.06518249511718821
146,12.019845008850098,TRUE,660,12,TRUE,0.019845008850097656
147,9.787501335144043,TRUE,884,9.8,TRUE,-0.012498664855957742
149,34.49729537963867,FALSE,2052,34.1,FALSE,0.39729537963867045
150,22.076738357543945,TRUE,1747,23.7,TRUE,-1.623261642456054
151,28.272781372070312,TRUE,2048,19,TRUE,9.2727813720703125
153,39.76210021972656,FALSE,484,32.1,FALSE,7.662100219726561
155,37.65353012084961,TRUE,961,31.7,TRUE,5.95353012084961
156,7.474873065948486,FALSE,1134,7,FALSE,0.47487306594848633
158,19.068918228149414,TRUE,761,19.1,TRUE,-0.03108177185058736
161,32.76471710205078,TRUE,1492,33.8,TRUE,-1.035282897949216
163,14.631033897399902,TRUE,2043,14.1,TRUE,0.5310338973999027
165,14.484281539916992,TRUE,2044,14.5,TRUE,-0.015718460083007812
166,20.1009464263916,TRUE,1039,17.7,TRUE,2.4009464263916023
171,26.401309967041016,TRUE,1929,24.1,TRUE,2.301309967041014
172,15.242977142333984,TRUE,254,18.4,TRUE,-3.157022857666014
173,48.00670623779297,TRUE,1429,53.4,TRUE,-5.39329376220703
178,9.190120697021484,TRUE,781,9.4,TRUE,-0.20987930297851598
179,31.889585494995117,TRUE,817,30.9,TRUE,0.9895854949951186
183,20.162996292114258,FALSE,284,19.6,FALSE,0.5629962921142564
188,27.509302139282227,TRUE,790,25.9,TRUE,1.609302139282228
189,25.094972610473633,TRUE,188,25.1,TRUE,-0.005027389526368609
190,12.239374160766602,TRUE,193,13.3,TRUE,-1.0606258392333991
192,13.902595520019531,TRUE,593,14.1,TRUE,-0.1974044799804684
193,15.1320219039917,TRUE,255,15.3,TRUE,-0.1679780960083015
194,12.000324249267578,TRUE,388,10.2,TRUE,1.8003242492675788
195,24.955312728881836,TRUE,1271,24.1,TRUE,0.8553127288818345
197,16.85219383239746,FALSE,1198,14.8,FALSE,2.0521938323974602
198,36.61552429199219,FALSE,744,35.7,FALSE,0.9155242919921847
202,22.827495574951172,TRUE,836,23.7,TRUE,-0.8725044250488274
204,7.354094982147217,TRUE,292,8.2,TRUE,-0.8459050178527825
205,14.892364501953125,FALSE,545,14,FALSE,0.892364501953125
207,37.061790466308594,TRUE,1938,36.7,TRUE,0.3617904663085909
210,28.6568660736084,TRUE,696,28.7,TRUE,-0.04313392639160085
211,14.601845741271973,TRUE,272,14.9,TRUE,-0.2981542587280277
212,17.67593002319336,FALSE,1127,14.8,FALSE,2.8759300231933587
213,33.676475524902344,TRUE,1364,33,TRUE,0.67647552490234375
215,28.700132369995117,TRUE,1310,29.2,TRUE,-0.4998676300048821
216,25.43212890625,TRUE,1768,26.5,TRUE,-1.06787109375
218,23.902910232543945,FALSE,1891,18.6,FALSE,5.302910232543944
219,28.88827896118164,TRUE,1769,28.3,TRUE,0.5882789611816399
221,33.00776290893555,TRUE,49,32.5,TRUE,0.5077629089355469
222,36.40919876098633,TRUE,1334,34.3,TRUE,2.109198760986331
223,19.89564323425293,TRUE,1281,18.7,TRUE,1.1956432342529304
225,21.491804122924805,TRUE,636,20.3,TRUE,1.191804122924804
226,6.904147148132324,FALSE,297,5.6,FALSE,1.3041471481323246
229,24.558658599853516,TRUE,1923,22.6,TRUE,1.9586585998535142
230,29.11477279663086,TRUE,564,24.7,TRUE,4.41477279663086
239,30.6566162109375,FALSE,1657,22.5,FALSE,8.1566162109375
240,17.520660400390625,TRUE,783,18.8,TRUE,-1.2793395996093757
241,41.99857711791992,FALSE,1686,39.8,FALSE,2.1985771179199247
242,37.62131118774414,TRUE,228,37.2,TRUE,0.4213111877441378
244,23.27056884765625,TRUE,1963,22.6,TRUE,0.6705688476562486
248,32.7207145690918,TRUE,814,31.2,TRUE,1.5207145690917976
250,27.815319061279297,TRUE,830,27.7,TRUE,0.11531906127929759
253,10.297026634216309,FALSE,87,10.6,FALSE,-0.30297336578369105
254,10.070960998535156,TRUE,1906,10.6,TRUE,-0.5290390014648434
259,15.206135749816895,TRUE,1379,14.8,TRUE,0.4061357498168938
260,27.505760192871094,FALSE,318,27.3,FALSE,0.20576019287109304
261,35.126712799072266,TRUE,1325,33,TRUE,2.1267127990722656
262,25.586881637573242,TRUE,825,25.5,TRUE,0.08688163757324219
265,19.308897018432617,FALSE,495,16.7,FALSE,2.608897018432618
266,28.2103328704834,FALSE,753,27.7,FALSE,0.5103328704833991
268,20.773162841796875,TRUE,1502,20.3,TRUE,0.4731628417968743
269,34.64683532714844,TRUE,807,33.8,TRUE,0.8468353271484403
271,38.25922775268555,TRUE,2070,37.3,TRUE,0.9592277526855497
272,8.374114036560059,TRUE,2084,5.8,TRUE,2.5741140365600588
273,36.06123352050781,TRUE,1336,32.3,TRUE,3.7612335205078153
280,26.692108154296875,TRUE,1714,26.4,TRUE,0.2921081542968764
282,37.34980010986328,TRUE,1013,29.5,TRUE,7.849800109863281
284,19.091720581054688,FALSE,508,16.4,FALSE,2.691720581054689
285,20.398479461669922,FALSE,2146,19.9,FALSE,0.4984794616699233
286,13.342144012451172,FALSE,121,13.4,FALSE,-0.05785598754882848
287,15.929019927978516,TRUE,1099,12.7,TRUE,3.2290199279785163
289,24.974409103393555,TRUE,708,23.7,TRUE,1.2744091033935554
291,31.773923873901367,TRUE,34,32.8,TRUE,-1.02607612609863
292,21.912513732910156,TRUE,1924,20.7,TRUE,1.212513732910157
293,17.24843978881836,FALSE,1141,15.1,FALSE,2.1484397888183597
294,34.672637939453125,FALSE,1872,33.2,FALSE,1.4726379394531222
295,22.584152221679688,TRUE,835,22.2,TRUE,0.3841522216796882
296,14.397111892700195,TRUE,373,12.3,TRUE,2.0971118927001946
302,5.9096221923828125,TRUE,1362,7.1,TRUE,-1.1903778076171871
304,29.632448196411133,TRUE,265,29.4,TRUE,0.23244819641113423
305,9.144129753112793,TRUE,1315,8.6,TRUE,0.5441297531127933
306,16.785524368286133,TRUE,887,13.7,TRUE,3.0855243682861335
309,18.397735595703125,FALSE,1894,18.5,FALSE,-0.102264404296875
312,19.374801635742188,FALSE,303,20.4,FALSE,-1.025198364257811
319,29.134279251098633,FALSE,1629,27.5,FALSE,1.6342792510986328
320,19.09187889099121,TRUE,618,18.8,TRUE,0.2918788909912102
323,23.72549819946289,FALSE,515,17.8,FALSE,5.92549819946289
325,51.70273971557617,FALSE,1852,50.8,FALSE,0.9027397155761747
326,18.275569915771484,TRUE,1313,18.1,TRUE,0.17556991577148295
328,7.74308967590332,TRUE,1298,7.2,TRUE,0.5430896759033201
332,21.492630004882812,TRUE,1075,17.6,TRUE,3.892630004882811
336,38.9693489074707,TRUE,1021,32,FALSE,6.969348907470703
337,38.537147521972656,TRUE,1348,37.6,TRUE,0.9371475219726548
338,7.919200897216797,FALSE,295,9.3,FALSE,-1.3807991027832038
339,9.689001083374023,FALSE,119,9.7,FALSE,-0.010998916625975852
340,32.15986251831055,FALSE,1901,31.2,FALSE,0.9598625183105476
342,40.276092529296875,FALSE,1046,31.8,FALSE,8.476092529296874
346,36.74054718017578,TRUE,2003,35.9,TRUE,0.8405471801757827
348,16.050140380859375,FALSE,1197,11,FALSE,5.050140380859375
349,32.648258209228516,TRUE,1970,24,TRUE,8.648258209228516
350,21.00309181213379,TRUE,843,15.1,TRUE,5.903091812133789
351,20.043842315673828,TRUE,1114,13.5,TRUE,6.543842315673828
353,32.9560432434082,TRUE,1096,27.6,TRUE,5.356043243408202
355,18.304601669311523,FALSE,412,15.5,FALSE,2.8046016693115234
356,8.768790245056152,TRUE,777,9.9,TRUE,-1.131209754943848
357,9.208571434020996,TRUE,764,8.7,TRUE,0.5085714340209968
358,17.639711380004883,TRUE,1503,17.8,TRUE,-0.1602886199951179
359,33.135868072509766,TRUE,922,35.5,TRUE,-2.3641319274902344
361,12.805617332458496,TRUE,590,12.8,TRUE,0.005617332458495383
362,20.181154251098633,TRUE,290,19.9,TRUE,0.28115425109863423
363,32.28837966918945,TRUE,238,30.7,TRUE,1.5883796691894538
364,30.87502670288086,FALSE,1225,30.1,FALSE,0.775026702880858
365,21.465679168701172,TRUE,991,16.3,TRUE,5.165679168701171
366,32.88386917114258,TRUE,1766,31.4,TRUE,1.4838691711425795
368,14.594324111938477,TRUE,1512,14.3,TRUE,0.29432411193847585
369,8.936897277832031,TRUE,1521,6.5,TRUE,2.4368972778320312
371,36.81016540527344,TRUE,1743,35.2,TRUE,1.6101654052734347
373,44.828304290771484,TRUE,1419,45.3,TRUE,-0.4716957092285128
377,34.52988815307617,FALSE,1118,30.3,FALSE,4.229888153076171
378,42.503231048583984,TRUE,674,45,TRUE,-2.4967689514160156
380,24.710647583007812,FALSE,2156,24,FALSE,0.7106475830078125
381,16.39862632751465,TRUE,598,16.3,TRUE,0.09862632751464773
388,35.294677734375,FALSE,1170,29.5,FALSE,5.794677734375
389,36.0479850769043,FALSE,1446,37,FALSE,-0.9520149230957031
390,29.331552505493164,TRUE,71,29.5,TRUE,-0.16844749450683594
391,24.61932945251465,TRUE,1260,23.9,TRUE,0.7193294525146499
394,35.3088264465332,TRUE,1756,33.1,TRUE,2.2088264465332017
395,25.08629608154297,TRUE,897,24.4,TRUE,0.6862960815429702
397,36.52548599243164,TRUE,5,34.6,TRUE,1.9254859924316392
399,34.169681549072266,TRUE,602,33.7,TRUE,0.4696815490722628
402,33.21373748779297,FALSE,1239,31.8,FALSE,1.413737487792968
403,29.35829734802246,TRUE,253,26.3,TRUE,3.0582973480224602
406,37.435401916503906,TRUE,554,26.4,TRUE,11.035401916503908
410,12.154497146606445,FALSE,2137,8.4,FALSE,3.754497146606445
411,12.86043930053711,TRUE,662,12.4,TRUE,0.460439300537109
414,28.544147491455078,FALSE,955,28.1,FALSE,0.4441474914550767
415,25.536876678466797,TRUE,789,24.8,TRUE,0.7368766784667962
417,15.904365539550781,TRUE,377,11.2,TRUE,4.704365539550782
419,41.40404510498047,FALSE,1984,40.6,TRUE,0.8040451049804673
420,36.65672302246094,TRUE,1402,36.4,TRUE,0.2567230224609389
421,21.327314376831055,TRUE,248,16.5,TRUE,4.827314376831055
423,12.298429489135742,TRUE,328,13,TRUE,-0.7015705108642578
430,9.127381324768066,FALSE,417,9.8,FALSE,-0.6726186752319343
433,36.73552322387695,FALSE,1802,35,FALSE,1.7355232238769531
438,26.80413818359375,TRUE,1220,26.1,TRUE,0.7041381835937486
439,12.990973472595215,FALSE,2136,13,FALSE,-0.009026527404785156
440,20.13395118713379,FALSE,1690,17.7,FALSE,2.4339511871337898
442,35.10732650756836,TRUE,1634,33.9,TRUE,1.2073265075683608
445,35.5638427734375,FALSE,1795,35.5,FALSE,0.0638427734375
446,6.151871681213379,TRUE,1510,6.3,TRUE,-0.14812831878662092
447,21.521255493164062,TRUE,969,14.8,TRUE,6.721255493164062
448,25.914636611938477,TRUE,252,25.7,TRUE,0.21463661193847727
449,28.94576072692871,TRUE,998,25.9,TRUE,3.0457607269287124
452,12.53185749053955,TRUE,731,12,TRUE,0.5318574905395508
453,22.18035888671875,TRUE,1962,21.6,TRUE,0.5803588867187486
454,49.8644905090332,FALSE,1678,48,FALSE,1.8644905090332031
458,35.957950592041016,TRUE,701,35.6,TRUE,0.3579505920410142
460,16.31451988220215,TRUE,842,16.2,TRUE,0.11451988220214915
463,29.505136489868164,FALSE,1626,28.2,FALSE,1.3051364898681648
464,35.569522857666016,FALSE,1054,26.8,FALSE,8.769522857666015
465,22.0689697265625,TRUE,614,20.6,TRUE,1.4689697265624986
467,17.46877098083496,FALSE,951,18.1,FALSE,-0.6312290191650405
468,31.54898452758789,TRUE,210,30,TRUE,1.5489845275878906
471,31.370555877685547,TRUE,262,30.9,TRUE,0.4705558776855483
472,22.612751007080078,TRUE,588,22.2,TRUE,0.41275100708007884
473,31.300264358520508,FALSE,114,30.3,FALSE,1.000264358520507
476,44.23735809326172,FALSE,1862,44.5,FALSE,-0.26264190673828125
477,20.472871780395508,TRUE,894,20.5,TRUE,-0.027128219604492188
479,15.451415061950684,FALSE,945,15.8,FALSE,-0.3485849380493171
486,19.199848175048828,FALSE,1880,18.4,FALSE,0.7998481750488295
487,29.55453872680664,FALSE,565,23.9,FALSE,5.654538726806642
488,35.81022262573242,TRUE,2096,36.1,TRUE,-0.28977737426757955
489,29.740299224853516,TRUE,167,28.2,TRUE,1.5402992248535163
491,8.66745662689209,TRUE,824,8.7,TRUE,-0.032543373107909446
492,20.919218063354492,TRUE,83,20.9,TRUE,0.01921806335449361
493,42.23268508911133,FALSE,1834,41.3,FALSE,0.932685089111331
494,25.108055114746094,FALSE,727,24.6,FALSE,0.5080551147460923
495,15.996369361877441,TRUE,324,16.4,TRUE,-0.4036306381225572
496,27.158111572265625,FALSE,1652,19,FALSE,8.158111572265625
497,17.01299285888672,TRUE,1772,16.6,TRUE,0.41299285888671733
502,35.22221374511719,FALSE,1047,28.7,FALSE,6.522213745117188
503,13.835556030273438,TRUE,375,12.7,TRUE,1.1355560302734382
505,7.440142631530762,TRUE,267,8.5,TRUE,-1.0598573684692383
507,23.166807174682617,TRUE,595,22.7,TRUE,0.4668071746826179
508,11.601081848144531,FALSE,461,11.2,FALSE,0.40108184814453196
511,41.18541717529297,TRUE,2014,39.6,TRUE,1.5854171752929673
512,29.940898895263672,TRUE,550,24.8,TRUE,5.140898895263671
514,8.728938102722168,FALSE,2148,8.5,FALSE,0.22893810272216797
515,35.96363830566406,TRUE,909,33.6,TRUE,2.363638305664061
516,9.410432815551758,TRUE,1504,9.1,TRUE,0.31043281555175817
518,42.03480529785156,FALSE,1656,43.7,FALSE,-1.6651947021484403
523,32.63201141357422,TRUE,1246,30.5,TRUE,2.1320114135742188
524,33.23451614379883,TRUE,1245,30.6,TRUE,2.6345161437988267
525,16.123022079467773,FALSE,1094,13.7,FALSE,2.423022079467774
527,33.78129959106445,FALSE,1457,32.5,FALSE,1.2812995910644531
531,34.04746627807617,FALSE,97,33.5,FALSE,0.5474662780761719
533,26.333322525024414,TRUE,691,25.7,TRUE,0.6333225250244148
534,14.949126243591309,FALSE,2151,14.8,FALSE,0.14912624359130788
537,26.640094757080078,TRUE,809,24.1,TRUE,2.5400947570800767
538,35.451637268066406,FALSE,1726,34,FALSE,1.4516372680664062
539,46.66427230834961,TRUE,878,42.4,TRUE,4.264272308349611
542,29.25933837890625,TRUE,816,28.6,TRUE,0.6593383789062486
544,11.173837661743164,FALSE,2124,9.4,FALSE,1.7738376617431637
546,32.900325775146484,FALSE,1187,27.5,FALSE,5.400325775146484
549,14.840173721313477,TRUE,1038,13.3,TRUE,1.5401737213134759
552,33.14780807495117,TRUE,9,34.9,TRUE,-1.7521919250488267
554,8.730509757995605,TRUE,344,8.4,TRUE,0.3305097579956051
557,17.223546981811523,TRUE,685,16.5,TRUE,0.7235469818115234
558,41.09994888305664,FALSE,730,39,FALSE,2.0999488830566406
559,6.767497539520264,TRUE,1428,6.4,TRUE,0.3674975395202633
561,17.188892364501953,TRUE,938,18.1,TRUE,-0.9111076354980483
564,34.71187973022461,TRUE,1393,34.2,TRUE,0.5118797302246065
565,11.479757308959961,TRUE,176,9.5,TRUE,1.979757308959961
567,34.59931564331055,TRUE,2039,33.6,TRUE,0.9993156433105455
568,33.09538650512695,FALSE,1868,33.2,FALSE,-0.10461349487304972
